Identifiant,Nom_Etablissement,Annee_Emission,Milieu,Polluant,quantite,unite,Numero_SIRET,Code_Postal,Commune,Departement,Region,Coordonnees_X,Coordonnees_Y,Code_APE,Libelle_APE,code_eprtr,libelle_eprtr,sirene_adresse,sirene_code_postal,Adresse,latitude,longitude,geocode_src,geocode_qualite
183.00603,Communauté d'Agglomération Béziers Méditerranée,2019,Air,Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse),455490000000,kg/an,24340076900093,34500,BEZIERS,HERAULT,OCCITANIE,3.281809,43.359108,8411Z,Administration publique générale,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes",39 BD DE VERDUN,34500,"Route de Bessan, Chemin rural n°59 et 61",43.379148,3.242882,API BAN,0.4
183.00603,Communauté d'Agglomération Béziers Méditerranée,2019,Air,Dioxyde de carbone (CO2) d'origine biomasse,455490000000,kg/an,24340076900093,34500,BEZIERS,HERAULT,OCCITANIE,3.281809,43.359108,8411Z,Administration publique générale,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes",39 BD DE VERDUN,34500,"Route de Bessan, Chemin rural n°59 et 61",43.379148,3.242882,API BAN,0.4
063.01225,DIRICKX INDUSTRIES,2019,Air,Composés organiques volatils non méthaniques (COVNM),24534800000,kg/an,40303369900014,53800,CONGRIER,MAYENNE,PAYS-DE-LA-LOIRE,344.181,2316.385,2593Z,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts",NA,NA,LE BAS ROCHER,53800,LE BAS ROCHER,47.797103,-1.078762,API BAN,0.94
064.01052,ArcelorMittal,2019,Air,Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse),7659480000,kg/an,42117403800032,13776,FOS-SUR-MER,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE-D'AZUR,4.885054,43.431668,2410Z,Sidérurgie,2.(b),"Installations pour la production de fonte ou d'acier (de première ou de seconde fusion), notamment en coulée continue d'une capacité de 2,5 tonnes par heure",ZONE INDUSTRIELLE,13270,ZI Audience,43.5928673895,5.49138381609,Base Code Postaux,code postal approché
064.01052,ArcelorMittal,2019,Air,Dioxyde de carbone (CO2) d'origine non biomasse,7659480000,kg/an,42117403800032,13776,FOS-SUR-MER,BOUCHES-DU-RHONE,PROVENCE-ALPES-COTE-D'AZUR,4.885054,43.431668,2410Z,Sidérurgie,2.(b),"Installations pour la production de fonte ou d'acier (de première ou de seconde fusion), notamment en coulée continue d'une capacité de 2,5 tonnes par heure",ZONE INDUSTRIELLE,13270,ZI Audience,43.5928673895,5.49138381609,Base Code Postaux,code postal approché
070.01279,ENGIE Thermique France - Centrale DK6,2019,Air,Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse),4608120000,kg/an,50149843000047,59951,DUNKERQUE,NORD,HAUTS-DE-FRANCE,599262.61,2672819.46,3511Z,Production d'électricité,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW,6 RTE DU FOSSE DEFENSIF,59140,Port 2871  2871 Route du Fossé Défensif  BP 59003  cedex1,50.4142959158,3.06115822735,Base Code Postaux,code postal approché
070.01279,ENGIE Thermique France - Centrale DK6,2019,Air,Dioxyde de carbone (CO2) d'origine non biomasse,4608120000,kg/an,50149843000047,59951,DUNKERQUE,NORD,HAUTS-DE-FRANCE,599262.61,2672819.46,3511Z,Production d'électricité,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW,6 RTE DU FOSSE DEFENSIF,59140,Port 2871  2871 Route du Fossé Défensif  BP 59003  cedex1,50.4142959158,3.06115822735,Base Code Postaux,code postal approché
070.00704,MINAKEM BEUVRY PRODUCTION,2019,Air,Dioxyde de carbone (CO2) d'origine non biomasse,3211270000,kg/an,79523115800010,59310,BEUVRY-LA-FORET,NORD,HAUTS-DE-FRANCE,3.270543,50.445973,2110Z,Fabrication de produits pharmaceutiques de base,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base,145 CHE DES LILAS,59310,"145, chemin des lilas",50.445627,3.269699,API BAN,0.95
070.00704,MINAKEM BEUVRY PRODUCTION,2019,Air,Dioxyde de carbone (CO2) total (d'origine biomasse et non biomasse),3211270000,kg/an,79523115800010,59310,BEUVRY-LA-FORET,NORD,HAUTS-DE-FRANCE,3.270543,50.445973,2110Z,Fabrication de produits pharmaceutiques de base,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base,145 CHE DES LILAS,59310,"145, chemin des lilas",50.445627,3.269699,API BAN,0.95
063.01225,DIRICKX INDUSTRIES,2019,Air,Poussières totales,2835590000,kg/an,40303369900014,53800,CONGRIER,MAYENNE,PAYS-DE-LA-LOIRE,344.181,2316.385,2593Z,"Fabrication d'articles en fils métalliques, de chaînes et de ressorts",NA,NA,LE BAS ROCHER,53800,LE BAS ROCHER,47.797103,-1.078762,API BAN,0.94
